Number,Genebank,Genebank ID,Species code,Species,GPS,GPS,GPS,GPS,Place,Province,COUNTRY,Description,Date of collecton,Elevation,Ploidy
987,CGN,17763,NRS,neorossii,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,2/3/1953,NULL,24
988,CGN,23017,VER,verrucosum,19.2,1912N,-99.25,09915W,E. Distrito Federal,NULL,MEX,Slopes of Mt Ajusco,10/25/1947,NULL,24
989,CGN,17767,VER,verrucosum,"194,666",1928N,-101.6,10136W,E. Michoacan,NULL,MEX,7 miles above Opopeo,11/13/1947,2400,24
990,CGN,17774,VER,verrucosum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,24
991,CGN,21369,VIA,viarum,"97,166",0943N,-84.1,08406W,P. San Jose,NULL,CRI,about 4km S of La Legua on the road to San Francisco (map 3345 II).,12/21/1996,2100,NULL
992,CGN,23561,LGC,longiconicum,"101,166",1007N,"-841,333",08408W,P. Heredia,NULL,CRI,"Volcan Barva, 500 m after entrance of park 100 m NW towards viewpoint",11/29/1996,2570,48
993,CGN,17755,VNT,venturii,NULL,NULL,NULL,NULL,P. Tucuman,D. Tafi del Valle,ARG,NULL,NULL,3000,24
994,CGN,20597,MCD,microdontum,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
995,CGN,22353,KTZ,kurtzianum,"-339,166",3355S,"-691,666",06910W,P. Mendoza,D. San Carlos,ARG,"Pampa del Cepillo, on way to Quebrada del Alvarado, 13 km from Route 40",2/26/1979,1200,24
996,CGN,962567,BLG,blanco-galdosii,NULL,NULL,NULL,NULL,D. Cajamarca,P. Cajamarca,PER,Cuesta del Cumbe,NULL,3400,24
997,CGN,960685,CHM,chomatophilum,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
998,CGN,962734,DMS,demissum,-16.3,1618S,-67.85,06751W,D. La Paz,P. Nor Yungas,BOL,"at Chulumani, 15 km from junction of road out of La Laz at road to Caranavi and road to Chuspipata",3/18/1993,2450,NULL
999,CGN,962782,CLR,clarum,"154,666",1528N,"-915,166",09131W,D. Huehuetenango,NULL,GTM,4.3 km NW of road from Huehuetenango to Santa Eulalia,10/20/1995,3280,NULL
1000,CGN,961607,GRL,gourlayi,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
1001,CGN,17736,OPL,oplocense,NULL,NULL,NULL,NULL,D. Potosi,P. Nor Chichas,BOL,62-64 km from Cotagaita to Vitichi,3/16/1971,2900,NULL
1002,CGN,17868,OPL,oplocense,"-221,166",2207S,"-654,666",06528W,P. Jujuy,D. Yavi,ARG,Yavi,2/15/1970,3450,NULL
1003,CGN,17869,OPL,oplocense,-23.2,2312S,-65.45,06527W,P. Jujuy,D. Humahuaca,ARG,"Route 11, Quebrada de la Soledad, 12 km W of Humahuaca",4/2/1971,3300,NULL
1004,CGN,17870,OPL,oplocense,"-218,833",2153S,"-661,833",06611W,P. Jujuy,D. Santa Catalina,ARG,"El Angosto, 34 km W of Santa Catalina,Faldeo pedregoso",4/7/1971,3700,NULL
1005,CGN,17872,GRL,gourlayi,"-243,166",2419S,-66.1,06606W,P. Salta,D. Rosario de Lerma,ARG,"8 km NW of Las Cuevas, Quebrada Munal. 20 m DE 4831",3/21/1973,3340,NULL
1006,CGN,17873,GRL,gourlayi,-24.55,2433S,-66.2,06612W,P. Salta,D. La Poma,ARG,"Route 40, 1 km S of El Rodeo.  Very Frequent",3/21/1973,3900,NULL
1007,CGN,17959,IFD,infundibuliforme,"-222,333",2214S,-66.45,06627W,P. Jujuy,D. Rinconada,ARG,"Quebrada de Paicones, 5 km SW of San Juan de Oros",5/2/1974,3700,NULL
1008,CGN,17962,GRL,gourlayi,-23.65,2339S,-65.6,06536W,P. Jujuy,D. Tumbaya,ARG,"Quebrada de Sepulturas, 300 m above Oka 4345",3/18/1972,3200,NULL
1009,CGN,17963,GRL,gourlayi,-23.65,2339S,-65.6,06536W,P. Jujuy,D. Tumbaya,ARG,quebrada de sepulturas. at the border of the valley,3/18/1972,3100,NULL
1010,CGN,17965,GRL,gourlayi,-23.25,2315S,"-652,166",06513W,P. Jujuy,D. Humahuaca,ARG,Cianzo,4/2/1972,3800,NULL
1011,CGN,17966,GRL,gourlayi,-23.2,2312S,-65.45,06527W,P. Jujuy,D. Humahuaca,ARG,"12 km W of Humahuaca, Valley of La Soledad",4/3/1972,3620,NULL
1012,CGN,17967,GRL,gourlayi,-23.2,2312S,-65.45,06527W,P. Jujuy,D. Humahuaca,ARG,"Soledad, 12 km W of Humahuaca.SA alta Valley of Soledad 12 km W de Huma",4/3/1972,3680,NULL
1013,CGN,17969,GRL,gourlayi,"-245,166",2431S,-66.2,06612W,P. Salta,D. La Poma,ARG,"Route 40, 1 km N of El Rodeo, 18 km S of Abra de Acay. km 1315",3/28/1973,3880,NULL
1014,CGN,17970,GRL,gourlayi,"-239,333",2356S,-66.35,06621W,P. Salta,D. Los Andes,ARG,"Sierra del Cobre, 1.5 km W of Matanzillas, and 8.5 km W of route 40",3/30/1973,3720,NULL
1015,CGN,17971,GRL,gourlayi,"-239,333",2356S,-66.35,06621W,P. Salta,D. Los Andes,ARG,"1 km W of Matancillas, 8 km W on route 40 and 33 km N of San Antonio",4/4/1974,3700,NULL
1016,CGN,17972,INM,incamayoense,"-247,833",2447S,"-657,166",06543W,P. Salta,D. Rosario de Lerma,ARG,"Chorrillos, route 51, km 49",4/1/1973,2100,NULL
1017,CGN,17988,CMM,commersonii,"-230,666",2304S,-65.4,06524W,P. Salta,D. Santa Victoria,ARG,Cuesta Azul Pampa,3/11/1971,3400,NULL
1018,CGN,18024,CMM ssp CMM,commersonii commersonii,"-377,333",3744S,-58.3,05818W,P. Buenos Aires,D. Balcarce,ARG,"Sierras de Balcarce, Cinco Cerros, through the dirt road to 8KM R.226 Ramos",6/26/1972,120,NULL
1019,CGN,18026,CMM,commersonii,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,NULL
1020,CGN,18030,BRC,brevicaule,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
1021,CGN,18065,GRL,gourlayi,-23.2,2312S,"-653,166",06519W,P. Jujuy,D. Humahuaca,ARG,Pucara,4/15/1978,3500,NULL
1022,CGN,18066,GRL ssp GRL,gourlayi,"-229,333",2256S,"-653,166",06519W,P. Jujuy,D. Humahuaca,ARG,"Chaupi Rodero, between Iturbe and Iruya",4/21/1978,3700,NULL
1023,CGN,18079,IFD,infundibuliforme,"-218,833",2153S,"-661,833",06611W,P. Jujuy,D. Santa Catalina,ARG,"30km oeste de Sta Catalina, Finca de Anselmo Salinas",4/2/1974,3800,NULL
1024,CGN,18087,OPL,oplocense,"-218,666",2152S,"-661,833",06611W,P. Jujuy,D. Santa Catalina,ARG,"30km al oeste de Santa Catalina, al borde de un Canal de Irrigacion",4/2/1974,3800,NULL
1025,CGN,18223,BRC,brevicaule,"-172,166",1713S,-66.05,06603W,D. Cochabamba,P. Chapare,BOL,"40 km from Tranca de Sacaba on the road to Palca, (0.5 km before Palca)",3/15/1980,3730,NULL
1026,CGN,18247,BRC,brevicaule,"-172,166",1713S,-66.05,06603W,D. Cochabamba,P. Chapare,BOL,"40 km from Tranca de Sacaba on the road to Palca, (0.5 km before Palca)",3/15/1980,3730,NULL
1027,CGN,18327,CMM,commersonii,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,NULL
1028,CGN,18328,CMM,commersonii,NULL,NULL,NULL,NULL,P. Buenos Aires,D. Salto,ARG,NULL,NULL,NULL,NULL
1029,CGN,20585,GRL,gourlayi,"-227,333",2244S,"-652,333",06514W,P. Salta,D. Iruya,ARG,Pantipampa,NULL,3200,NULL
1030,CGN,20594,GRL,gourlayi,"-243,166",2419S,-66.1,06606W,P. Salta,D. Rosario de Lerma,ARG,"Quebrada Munal, 400m sureste oka 5604, ruta 51, 8km noroeste de las cuevas",4/5/1974,3700,NULL
1031,CGN,20638,OPL,oplocense,NULL,NULL,NULL,NULL,D. Potosi,P. Nor Chichas,BOL,27 km from Cotagaita to Tupiza,3/24/1980,3000,NULL
1032,CGN,20657,GRL,gourlayi,"-239,666",2358S,"-656,333",06538W,P. Jujuy,D. Capital,ARG,Molinos about nine hours northwest of Leon by mule,4/3/1983,3200,NULL
1033,CGN,21332,GRL,gourlayi,"-236,166",2337S,"-655,333",06532W,P. Jujuy,D. Tumbaya,ARG,Quebrada de Estancia Grande. 1100 m from Oka 4314,3/17/1972,3200,NULL
1034,CGN,21333,GRL,gourlayi,-23.65,2339S,-65.6,06536W,P. Jujuy,D. Tumbaya,ARG,Quebrada de Sepulturas,3/18/1972,3100,NULL
1035,CGN,21334,GRL,gourlayi,"-229,666",2258S,"-654,333",06526W,P. Jujuy,D. Humahuaca,ARG,"Esquina Blanca, route 9, abouat 100 m N of the ford with the rio Grande",4/8/1972,3500,NULL
1036,CGN,21336,GRL,gourlayi,"-239,333",2356S,-66.35,06621W,P. Salta,D. Los Andes,ARG,"Sierra del Cobre, 2 km W of Matanzillas and 9 km W on route 40",3/30/1973,3740,NULL
1037,CGN,21341,GRL,gourlayi,NULL,NULL,NULL,NULL,P. Catamarca,D. Belen,ARG,Pozo de Piedras,NULL,1900,NULL
1038,CGN,21353,CMM ssp MLM,commersonii malmeanum,-29.7,2942S,"-571,166",05707W,P. Corrientes,D. Paso de los Libres,ARG,"3 km from Paso de Los Libres, Finca La Cautiva del Sr. Lagrilla",6/26/1980,50,NULL
1039,CGN,21359,CMM,commersonii,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
1040,CGN,22322,BRC,brevicaule,"-172,666",1716S,-66.3,06618W,D. Cochabamba,P. Quillacollo,BOL,"Puente San Miguel, Tunari Range, above Cochabamba",4/9/1963,NULL,NULL
1041,CGN,22324,OPL,oplocense,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
1042,CGN,22340,GRL,gourlayi,NULL,NULL,NULL,NULL,P. Salta,D. Iruya,ARG,"Rodeo Colorado, arriba de Valle Delgrado",4/7/1952,3300,NULL
1043,CGN,22342,GRL,gourlayi,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,NULL
1044,CGN,22343,GRL,gourlayi,"-243,166",2419S,"-661,166",06607W,P. Salta,D. Rosario de Lerma,ARG,"La Bomba (encrucijada), finca de Elias Cruz, 11km noroeste cuevas ruta n.51",4/5/1974,3800,NULL
1045,CGN,22352,CMM ssp MLM,commersonii malmeanum,"-305,333",3032S,"-589,333",05856W,P. Entre Rios,D. Feliciano,ARG,"Route 1, 19 km SW from Feliciano",6/27/1980,62,NULL
1046,CGN,22713,OPL,oplocense,"-217,833",2147S,-65.55,06533W,D. Potosi,P. Modesto Omiste,BOL,50 km from Tupiza to Villazon,3/25/1980,3250,NULL
1047,CGN,22717,BRC,brevicaule,"-172,166",1713S,-66.05,06603W,D. Cochabamba,P. Chapare,BOL,"40 km from Tranca de Sacaba on the road to Palca, (0.5 km before Palca)",3/15/1980,3730,NULL
1048,CGN,23022,GRL,gourlayi,-18.6,1836S,"-669,166",06655W,D. Cochabamba,NULL,BOL,Pazna,1/1/1967,3800,NULL
1049,CGN,23486,GRL,gourlayi,-24.65,2439S,-66.2,06612W,P. Salta,D. La Poma,ARG,"Esquina Azul, route nacional 40. 1.5km Por quebrada del arroyo Pirca",4/5/1973,3580,NULL
1050,CGN,23492,CMM ssp CMM,commersonii commersonii,"-373,833",3723S,"-591,666",05910W,P. Buenos Aires,D. Tandil,ARG,Reserva Faunistica de Sierra del Tigre. A unos 5-6 km al Sur de Tandil,12/9/1973,300,NULL
1051,CGN,23497,GRL,gourlayi,"-231,166",2307S,"-651,333",06508W,P. Jujuy,D. Humahuaca,ARG,"Serrania de Aparzo, 2 km S Aparzo, 39 km E of Humahuaca",3/26/1974,3600,NULL
1052,CGN,23515,GRL,gourlayi,-23.5,2330S,-65.45,06527W,P. Jujuy,D. Tilcara,ARG,Quebrada de Jueya near Tilcara,4/8/1983,2700,NULL
1053,CGN,960071,GRL,gourlayi,-23,2300S,"-654,666",06528W,P. Jujuy,D. Humahuaca,ARG,Jujuy.  Incacuevas,3/2/1971,3650,NULL
1054,CGN,961347,GRL,gourlayi,-23.25,2315S,"-652,166",06513W,P. Jujuy,NULL,ARG,Cianzo,4/2/1972,3900,NULL
1055,CGN,23794,GRL,gourlayi,-23.15,2309S,-65.45,06527W,P. Jujuy,D. Humahuaca,ARG,"Prov. road 14, Coraya",3/6/1967,3300,NULL
1056,CGN,23798,OPL,oplocense,NULL,NULL,NULL,NULL,D. Chuquisaca,P. Oropeza,BOL,"Tejar, 4 km from Sucre to Potosi",3/27/1974,2600,NULL
1057,CGN,961876,OPL,oplocense,"-207,166",2043S,"-656,833",06541W,D. Potosi,P. Nor Chichas,BOL,"Road to Potosi, 25 km from Cotagaita",4/4/1974,NULL,NULL
1058,CGN,962274,CMM ssp MLM,commersonii malmeanum,"-317,666",3146S,"-605,333",06032W,P. Entre Rios,D. Parana,ARG,"Parana, 3 km from Illegar on route 11",7/4/1980,74,NULL
1059,CGN,962541,OPL,oplocense,-23.2,2312S,-65.45,06527W,P. Jujuy,D. Humahuaca,ARG,NULL,NULL,3300,NULL
1060,CGN,17800,DMS,demissum,19,1900N,-98,09800W,E. Puebla,NULL,MEX,Selva Obscura,1/6/1948,NULL,NULL
1061,CGN,961619,SCT,sanctae-rosae,"-258,333",2550S,"-655,833",06535W,P. Salta,D. Guachipas,ARG,"Estancia Pampa Grande, W mountain range between Cerro Cristal and Pirgua",3/20/1966,2650,NULL
